id,lat,lon,label
n1,34.0700433,72.6406952,Node 1
n2,34.0701153,72.6417167,Node 2
n3,34.0688122,72.6394726,Node 3
n4,34.0689186,72.6407982,Node 4
n5,34.0689595,72.6415164,Node 5
n6,34.068981,72.6418924,Node 6
n7,34.0689877,72.6420188,Node 7
n8,34.0689658,72.6421213,Node 8
n9,34.0689289,72.642226,Node 9
n10,34.0684496,72.6430857,Node 10
n11,34.0684424,72.643182,Node 11
n12,34.0686079,72.6442594,Node 12
n13,34.0686227,72.6443276,Node 13
n14,34.0688233,72.6453895,Node 14
n15,34.069133,72.6456368,Node 15
n16,34.0696159,72.6460224,Node 16
n17,34.0700369,72.6463514,Node 17
n18,34.0703653,72.6465939,Node 18
n19,34.0709179,72.6467648,Node 19
n20,34.0710645,72.6468211,Node 20
n21,34.0711453,72.6468655,Node 21
n22,34.0713049,72.6469794,Node 22
n23,34.0715376,72.6473593,Node 23
n24,34.0723135,72.6486262,Node 24
n25,34.0723333,72.6486628,Node 25
n26,34.0726461,72.6493912,Node 26
n27,34.0728577,72.6501811,Node 27
n28,34.0728584,72.6501835,Node 28
n29,34.0730028,72.6507154,Node 29
n30,34.0731516,72.6513636,Node 30
n31,34.0733185,72.6517184,Node 31
n32,34.0735688,72.6520688,Node 32
n33,34.0738627,72.6522308,Node 33
n34,34.0741384,72.6522878,Node 34
n35,34.0744069,72.6522965,Node 35
n36,34.0751433,72.6523535,Node 36
n37,34.0754154,72.6525506,Node 37
n38,34.0756621,72.6530061,Node 38
n39,34.0759668,72.6535492,Node 39
n40,34.0761845,72.653939,Node 40
n41,34.0682004,72.6401,Node 41
n42,34.0682742,72.6408489,Node 42
n43,34.0699227,72.6390693,Node 43
n44,34.067991,72.6443922,Node 44
n45,34.068148,72.6443498,Node 45
n46,34.069301,72.6440625,Node 46
n47,34.0701815,72.646311,Node 47
n48,34.0707249,72.6461531,Node 48
n49,34.0716859,72.6459107,Node 49
n50,34.07186,72.6458275,Node 50
n51,34.0720197,72.6457048,Node 51
n52,34.0721031,72.6455647,Node 52
n53,34.0720971,72.645437,Node 53
n54,34.0719086,72.6443073,Node 54
n55,34.0718999,72.6442551,Node 55
n56,34.0719362,72.6441062,Node 56
n57,34.0724877,72.6434361,Node 57
n58,34.0725856,72.6434361,Node 58
n59,34.0727126,72.6437076,Node 59
n60,34.0728033,72.6437251,Node 60
n61,34.0731465,72.643291,Node 61
n62,34.0733366,72.6430506,Node 62
n63,34.0733402,72.6428535,Node 63
n64,34.0732677,72.6426345,Node 64
n65,34.0731226,72.6425557,Node 65
n66,34.0727489,72.6426258,Node 66
n67,34.0699302,72.6463781,Node 67
n68,34.0700648,72.6471184,Node 68
n69,34.0692011,72.6460579,Node 69
n70,34.0692757,72.6465188,Node 70
n71,34.0693893,72.6470319,Node 71
n72,34.0694546,72.6471283,Node 72
n73,34.0697319,72.6471238,Node 73
n74,34.0703719,72.6471128,Node 74
n75,34.0707555,72.6471057,Node 75
n76,34.0704999,72.6436979,Node 76
n77,34.0709799,72.6435744,Node 77
n78,34.0710133,72.6437635,Node 78
n79,34.070538,72.6438836,Node 79
n80,34.0693173,72.6441549,Node 80
n81,34.0681662,72.6444528,Node 81
n82,34.0680096,72.6444957,Node 82
n83,34.0693083,72.6439456,Node 83
